MinSiHotIron;MaxSiHotIron;MinTHotIron;MaxTHotIron;MassHotIron;MassScrap;MassLime;MassDolom;UVSMassDolom;MassFOM;UVSMassFOM;MassDolomS
0,3;0,49;1320;1360;320;90;12;1,5;2,5;3,5;5;0
0,3;0,49;1360;1400;310;100;14;1,5;2,5;3,5;5;0
0,3;0,49;1400;1440;305;105;14;1,5;2,5;3,5;5;0
0,5;0,69;1320;1360;310;100;14;1,5;2,5;3,5;5;0
0,5;0,69;1360;1400;300;110;14;1,5;2,5;3,5;5;1
0,5;0,69;1400;1440;295;115;14;1,5;2,5;3,5;5;0
0,7;0,79;1320;1360;310;100;14;1,5;2,5;3,5;5;0
0,7;0,79;1360;1400;300;110;15;1,5;2,5;3,5;5;2
0,7;0,79;1400;1440;290;120;15;1,5;2,5;3,5;5;0
0,8;0,89;1320;1360;310;100;14;1,5;2,5;3,5;5;1,5
0,8;0,89;1360;1400;300;110;15;1,5;2,5;3,5;5;3,5
0,8;0,89;1400;1440;290;120;15;1,5;2,5;3,5;5;1,5
0,9;0,99;1320;1360;310;100;14;1,5;2,5;3,5;5;3
0,9;0,99;1360;1400;300;110;15;1,5;2,5;3,5;5;5
0,9;0,99;1400;1440;290;120;15;1,5;2,5;3,5;5;3
1;1,1;1320;1360;310;100;14;1,5;2,5;3,5;5;4,5
1;1,1;1360;1400;300;110;15;1,5;2,5;3,5;5;6,5
1;1,1;1400;1440;290;120;15;1,5;2,5;3,5;5;4,5
